url,comment_user,comment_user_url,comment_date,comment,likes_number,replies_number,replies,hashtag_comment,tagged_users_in_comment,post_url,post_user,comment_id,post_id
"https://www.instagram.com/adventures.of.motley","las███lit███","https://www.instagram.com/lassielite","2024-12-29T01:40:09.000Z","😍",2,1,"[{""likes_number"":1,""reply"":""@lassielite 🫶"",""reply_date"":""2024-12-29T21:13:24.000Z"",""reply_user"":""adv███ure███f.m██████""}]","null","null","https://www.instagram.com/reel/DEGxVUYOnDR","adv███ure███f.m██████","17999040923709014","3532727926988107985"
"https://www.instagram.com/adventures.of.motley","pet███est███","https://www.instagram.com/pethonesty","2024-12-28T16:39:05.000Z","Now this is some good asmr! 🙌🤩",1,1,"[{""likes_number"":1,""reply"":""@pethonesty so tasty"",""reply_date"":""2024-12-29T21:13:17.000Z"",""reply_user"":""adv███ure███f.m██████""}]","null","null","https://www.instagram.com/reel/DEGxVUYOnDR","adv███ure███f.m██████","18255186586285211","3532727926988107985"
"https://www.instagram.com/adventures.of.motley","gsp███nkn███ne","https://www.instagram.com/gsp_hanknboone","2025-01-04T00:13:42.000Z","the perfect combo ❤️",2,1,"[{""likes_number"":0,""reply"":""@gsp_hanknboone 🙌"",""reply_date"":""2025-01-04T04:14:28.000Z"",""reply_user"":""adv███ure███f.m██████""}]","null","null","https://www.instagram.com/reel/DELxG7npv1H","adv███ure███f.m██████","17936284541840831","3534134313214213447"
"https://www.instagram.com/lifeofavita","tra███in_███ck","https://www.instagram.com/travelin_chuck","2024-12-09T13:39:59.000Z","We LOVE our pet honesty!!",2,1,"[{""likes_number"":0,""reply"":""@travelin_chuck 🙌🏼 agreeed!!"",""reply_date"":""2024-12-12T04:07:52.000Z"",""reply_user"":""lif███avi███""}]","null","null","https://www.instagram.com/reel/DDF0__KylHs","lif███avi███","18031754228428678","3514448179804918252"
"https://www.instagram.com/lifeofavita","the███ro.███s","https://www.instagram.com/the.hero.dogs","2024-12-05T23:20:23.000Z","😂😂😂😂",1,1,"[{""likes_number"":0,""reply"":""@the.hero.dogs 🤭🫶🏼"",""reply_date"":""2024-12-12T04:07:58.000Z"",""reply_user"":""lif███avi███""}]","null","null","https://www.instagram.com/reel/DDF0__KylHs","lif███avi███","18041727458269631","3514448179804918252"
"https://www.instagram.com/lifeofavita","sco███ndb███e","https://www.instagram.com/scoutandblaze","2024-12-04T08:10:44.000Z","We have the dental powder! #gifted",1,1,"[{""likes_number"":0,""reply"":""@scoutandblaze one of our favsss!!"",""reply_date"":""2024-12-21T19:36:09.000Z"",""reply_user"":""lif███avi███""}]","[""#gifted""]","null","https://www.instagram.com/reel/DDF0__KylHs","lif███avi███","17913748947022887","3514448179804918252"
"https://www.instagram.com/pethonesty","las███lit███","https://www.instagram.com/lassielite","2024-12-29T01:40:02.000Z","High quality supplements and food!",1,1,"[{""likes_number"":0,""reply"":""@lassielite 💛💛🥹"",""reply_date"":""2024-12-29T15:42:55.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/reel/DEGXYe8J5kq","pet███est███","18078284728609899","3532613795277412650"
"https://www.instagram.com/pethonesty","pip███ood███3","https://www.instagram.com/piperdoodle23","2024-12-16T00:40:12.000Z","So happy and healthy! 🩷",1,1,"[{""likes_number"":0,""reply"":""@piperdoodle23 💛🤎"",""reply_date"":""2024-12-16T00:49:44.000Z"",""reply_user"":""paw███ive███our█████████e""}]","null","null","https://www.instagram.com/reel/DDk5IyEpFOJ","pet███est███","18041156348225539","3523192100682486665"
"https://www.instagram.com/pethonesty","bai███_th███ern█████████","https://www.instagram.com/bailey_the_bernie_dog","2024-12-15T23:54:38.000Z","A healthy dog is a happy dog! So glad @pethonesty has you covered! ❤️",2,1,"[{""likes_number"":0,""reply"":""@bailey_the_bernie_dog I agree!"",""reply_date"":""2024-12-16T00:49:38.000Z"",""reply_user"":""paw███ive███our█████████e""}]","null","[""@pe███nes███""]","https://www.instagram.com/reel/DDk5IyEpFOJ","pet███est███","18074612461619721","3523192100682486665"
"https://www.instagram.com/honeydewthedachshund","ver███ari███","https://www.instagram.com/very.cari","2024-12-19T17:58:15.000Z","HEALTH",2,1,"[{""likes_number"":0,""reply"":""Check inbox, 🔗 sent! 💚"",""reply_date"":""2024-12-19T17:58:24.000Z"",""reply_user"":""hon███ewt███ach██████""}]","null","null","https://www.instagram.com/reel/DDXYHhMvUwF","hon███ewt███ach██████","18252296245263287","3519387703613148165"
"https://www.instagram.com/honeydewthedachshund","mar███ose███nke███","https://www.instagram.com/martiroseshanker","2024-12-18T05:20:34.000Z","health",3,1,"[{""likes_number"":0,""reply"":""Check your inbox, details sent 💬"",""reply_date"":""2024-12-18T05:20:43.000Z"",""reply_user"":""hon███ewt███ach██████""}]","null","null","https://www.instagram.com/reel/DDXYHhMvUwF","hon███ewt███ach██████","18026417321537084","3519387703613148165"
"https://www.instagram.com/purina","myl███lel███07","https://www.instagram.com/mylittlelife07","2024-12-08T17:02:47.000Z","Yall should probably respond to the allegations that your wet cat foods have excessive amounts chemicals in them. So much so that the food goes through an oxygenation color change like the Statue of Liberty.. why does the wet food turn bright bright red and almost look bloody within the hour?",5,2,"[{""likes_number"":3,""reply"":""We're sorry to hear about this, and we're at a loss as to why this would be happening. The ingredients for all of our products can be found on each product page on our website, as we pride ourselves on transparency for our consumers and want to ensure everyone can make the right decisions for their pets when it comes to food.\n\nWe'd like to learn more about this situation you've encountered. When you have a moment, please send us a private message. We look forward to hearing from you."",""reply_date"":""2024-12-08T17:11:17.000Z"",""reply_user"":""pur███""},{""likes_number"":0,""reply"":""@purina it’s not my experience, just one you ignored when the person reached out to you about it. Though I won’t be purchasing/donating anymore of your wet cat food- I’d suggest you go through your cat food complaints, she’s not the only one who’s been ignored trying to get updates or information and it’s a shame that I (a dog owner using your food) have to speak about it publicly for you to acknowledge the struggles of cat owners using the Purina Friskies cat food."",""reply_date"":""2024-12-08T17:33:46.000Z"",""reply_user"":""myl███lel███07""}]","null","null","https://www.instagram.com/reel/DDKf_-RRYGE","pur███","18134961550372724","3515763194746732932"
"https://www.instagram.com/purina","hhd███n","https://www.instagram.com/hhdoran","2024-12-13T22:17:43.000Z","Love this! And love seeing puppy Journey! She was soooo tiny!",1,1,"[{""likes_number"":0,""reply"":""@hhdoran right??!?!"",""reply_date"":""2024-12-14T01:04:24.000Z"",""reply_user"":""pet███rut███n""}]","null","null","https://www.instagram.com/reel/DDhrJ1eOWyV","pur███","18078211456594567","3522286175471103125"
"https://www.instagram.com/kaylakowalskinutrition_","min███res███x5","https://www.instagram.com/mintyfresh_cx5","2024-12-17T22:43:51.000Z","Any alternatives to beef/chicken liver? We have one pup that’s sensitive to beef liver and another allergic to chicken 😩",2,1,"[{""likes_number"":0,""reply"":""@mintyfresh_cx5 you could try turkey or sheep liver!"",""reply_date"":""2024-12-18T19:37:53.000Z"",""reply_user"":""sug███eet███""}]","null","null","https://www.instagram.com/reel/DDshUirSDRV","kay███owa███inu█████████","17858806344320161","3525339155482031189"
"https://www.instagram.com/kaylakowalskinutrition_","hap███art███","https://www.instagram.com/happyharte","2024-12-03T04:57:36.000Z","Where do you get the blue spiraling powder?  Is there a type@best for dogs?",1,1,"[{""likes_number"":0,""reply"":""@happyharte the powder is https://a.co/d/4yzZrNZ"",""reply_date"":""2024-12-07T12:49:49.000Z"",""reply_user"":""gia███wie███""}]","null","[""@best""]","https://www.instagram.com/reel/DDFzyotzfbI","kay███owa███inu█████████","17904662936979629","3514442864296589000"
"https://www.instagram.com/nickbarefitness","rab███aye███","https://www.instagram.com/rabenraye","2024-12-28T15:28:11.000Z","Nick we would love to see what we can do with your media studio @pipegrids were your number 1 studio solutions company in the 🌎",0,1,"[{""likes_number"":0,""reply"":""@rabenraye let’s go!"",""reply_date"":""2024-12-28T15:28:51.000Z"",""reply_user"":""pip███ids███""}]","null","[""@pi███rid███""]","https://www.instagram.com/reel/DEDp9pUxZ9_","nic███ref███ess███","18051647453047154","3531851088955547519"
"https://www.instagram.com/beautifulbydrew","paw███lde███ns","https://www.instagram.com/pawmaildesigns","2024-12-14T03:57:36.000Z","Her line is so stunning but I’ve had problems with several of her appliances. A lot of her things either end up melting the plastic or parts start breaking . It’s very cheaply made . Be careful what your purchase",1,2,"[{""likes_number"":0,""reply"":""@pawmaildesigns love drew ! I had an issue with my coffee pot. It stopped working a day after I called customer service. I tagged them on social media. Nobody got back to me weeks went by before my coffee maker was returned because they kept trying to give them the benefit of the doubt. Now my kettle is leaking water and I’m not even had it for a year and a half😢"",""reply_date"":""2024-12-14T04:12:25.000Z"",""reply_user"":""lil███tyd███""},{""likes_number"":0,""reply"":""@lilmistydiaz yeah the line is very classy looking but unfortunately I won’t be purchasing anymore of her products . I apologize you’ve also experienced issues ."",""reply_date"":""2024-12-14T17:01:52.000Z"",""reply_user"":""paw███lde███ns""}]","null","null","https://www.instagram.com/p/DDhqYzoP6pH","bea███ful███rew███","18060038521863673","3522282806237440583"
"https://www.instagram.com/pethonesty","zoe███her███es","https://www.instagram.com/zoeandhertales","2024-12-25T12:00:16.000Z","The best gift ever.",1,1,"[{""likes_number"":0,""reply"":""@zoeandhertales Always!🥰"",""reply_date"":""2024-12-25T17:48:44.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DD8ETf3JTk-","pet███est███","17868581733269447","3529715140018911550"
"https://www.instagram.com/pethonesty","the███ke_███ill██████","https://www.instagram.com/the_duke_of_illinois","2024-12-16T23:19:23.000Z","10000%!!!",1,1,"[{""likes_number"":0,""reply"":""@the_duke_of_illinois 🥹🥹🥹"",""reply_date"":""2024-12-16T23:59:10.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDqCvQtJjIv","pet███est███","17931074615858559","3524641702216610351"
"https://www.instagram.com/pethonesty","duk███ddu███ssd███","https://www.instagram.com/dukeandduchessduo","2024-12-20T02:40:38.000Z","The best🙌🙌🙌",1,1,"[{""likes_number"":1,""reply"":""@dukeandduchessduo You know it! 😉"",""reply_date"":""2024-12-20T15:08:25.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDxxFo3Jvog","pet███est███","18071585278634581","3526815874959211040"
"https://www.instagram.com/pethonesty","iri███her███oll███","https://www.instagram.com/iris_theragdoll","2024-12-05T02:31:19.000Z","Amazing 🩷",2,1,"[{""likes_number"":1,""reply"":""@iris_theragdoll 💛💛💛"",""reply_date"":""2024-12-05T03:00:50.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDHmnIgpTqf","pet███est███","18069115591677750","3514947849150610079"
"https://www.instagram.com/pethonesty","adv███ure███f.m██████","https://www.instagram.com/adventures.of.motley","2024-12-10T02:22:54.000Z","fr my favorite duo👏🔥",3,1,"[{""likes_number"":0,""reply"":""@adventures.of.motley Such a great pair! 🙌🙌"",""reply_date"":""2024-12-10T14:29:12.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDYBJ8zJe-F","pet███est███","17992628018685000","3519568190594477957"
"https://www.instagram.com/pethonesty","adv███ure███f.m██████","https://www.instagram.com/adventures.of.motley","2024-12-08T02:35:23.000Z","snoop dogg on repeat 🔁🤪",3,1,"[{""likes_number"":2,""reply"":""@adventures.of.motley All day every day! 🔁"",""reply_date"":""2024-12-08T15:45:28.000Z"",""reply_user"":""pet███est███""}]","null","null","https://www.instagram.com/p/DDQSuXAJ9H7","pet███est███","18037091006071876","3517393659608158715"
"https://www.instagram.com/dukeandduchessduo","sus███uew███","https://www.instagram.com/susiequewho","2024-12-24T17:08:38.000Z","And you’re the epitome of a handsome man in pink! It goes with your eyes 😍",1,1,"[{""likes_number"":0,""reply"":""@susiequewho ❤️❤️❤️❤️"",""reply_date"":""2024-12-24T20:52:16.000Z"",""reply_user"":""duk███ddu███ssd███""}]","null","null","https://www.instagram.com/p/DD5JX0gRQQ4","duk███ddu███ssd███","18021524249338374","3528893002364027960"
"https://www.instagram.com/nickbarefitness","jar███_di███","https://www.instagram.com/jared__dixon","2024-12-05T13:53:31.000Z","Going for 24 hours at LMS at the end of August with @lordhotcakes",2,1,"[{""likes_number"":0,""reply"":""@jared__dixon that's the plan brother"",""reply_date"":""2024-12-05T14:28:43.000Z"",""reply_user"":""lor███tca███""}]","null","[""@lo███otc███s""]","https://www.instagram.com/p/DDDEwO2yNXd","nic███ref███ess███","17924783336995489","3513673040951563741"
